iter	Passed	Remaining
0	0	715
1	1	643
2	1	628
3	2	615
4	3	616
5	3	606
6	4	597
7	4	601
8	5	596
9	6	598
10	6	596
11	7	588
12	7	582
13	8	580
14	8	575
15	9	570
16	9	567
17	10	562
18	10	562
19	11	560
20	11	557
21	12	556
22	13	556
23	13	554
24	14	552
25	14	550
26	15	547
27	15	543
28	16	541
29	16	545
30	17	547
31	18	557
32	18	555
33	19	553
34	19	550
35	20	549
36	21	547
37	21	548
38	22	545
39	22	544
40	23	545
41	23	545
42	24	544
43	25	543
44	25	542
45	26	540
46	26	539
47	27	538
48	27	536
49	28	535
50	28	536
51	29	535
52	29	534
53	30	533
54	30	532
55	31	530
56	32	529
57	32	529
58	33	528
59	33	527
60	34	526
61	34	525
62	35	526
63	35	525
64	36	524
65	36	523
66	37	522
67	38	521
68	38	520
69	39	519
70	39	518
71	40	517
72	40	516
73	41	515
74	41	514
75	42	512
76	42	512
77	43	512
78	44	513
79	44	512
80	45	511
81	45	510
82	45	507
83	46	505
84	46	505
85	47	505
86	48	504
87	48	504
88	49	505
89	50	506
90	50	506
91	51	507
92	52	509
93	52	510
94	53	510
95	54	510
96	55	512
97	55	513
98	56	515
99	57	516
100	57	515
101	58	518
102	59	519
103	60	521
104	61	522
105	61	522
106	62	522
107	63	521
108	63	521
109	64	520
110	64	519
111	65	519
112	65	517
113	66	517
114	67	517
115	67	517
116	68	516
117	69	516
118	70	519
119	70	519
120	71	518
121	71	517
122	72	516
123	72	515
124	73	515
125	74	517
126	75	517
127	76	517
128	76	517
129	77	517
130	77	516
131	78	515
132	78	514
133	79	513
134	79	512
135	80	511
136	81	510
137	81	509
138	82	508
139	82	507
140	83	507
141	83	506
142	84	506
143	85	506
144	85	506
145	86	506
146	87	505
147	87	503
148	87	502
149	88	501
150	88	499
151	89	498
152	89	497
153	90	496
154	91	496
155	91	496
156	92	495
157	92	495
158	93	494
159	94	493
160	94	491
161	94	490
162	95	490
163	96	489
164	96	488
165	96	487
166	97	486
167	97	484
168	98	484
169	98	483
170	99	481
171	99	480
172	100	479
173	100	478
174	101	477
175	101	476
176	102	475
177	102	473
178	103	472
179	103	471
180	103	470
181	104	469
182	104	468
183	105	468
184	106	468
185	106	468
186	107	467
187	108	466
188	108	466
189	109	465
190	109	464
